date, tBidSz, tBid, tAsk, tAskSz, fvTurn, trdPrc, trdSz, onBidSz, onAskSz, time, anchor(4), event, turnMove, fvSpot, spotMove, delta, upDelta, sumUpDelta(10), avgUp(10), up(10)from, sumUpDelta(20), avgUp(20), up(20)from, dnDelta, sumDnDelta(10), avgDn(10), dn(10)from, sumDnDelta(20), avgDn(20), dn(20)from, upCnt, totSumUp, totAvgUp, totUpFrom, dnCnt, totSumDn, totAvgDn, totDnFrom, 
20140815, 221, 194500, 194525, 1005, 194505,  ,  , 644912, 560139, 13:8:21.0, 194500, up, 1, 13.8455, -0.914216, 0.914216, 0.914216, 10.2072, 1.02072, 12:25:23.0, 19.5694, 0.97847, 12:4:50.0,  , 8.73412, 0.873412, 12:19:30.0, 19.4223, 0.971117, 11:53:47.0, 62, 56.309, 0.908209, 9:28:6.0, 74, 79.2322, 1.07071, 9:40:0.0, 
20140815, 333, 194600, 194625, 459, 194611,  ,  , 645546, 563431, 13:8:31.0, 194600, up, 1, 13.7931, -1.04806, 1.04806, 1.04806, 9.69531, 0.969531, 12:28:43.0, 20.3957, 1.01979, 12:5:49.0,  , 8.73412, 0.873412, 12:19:30.0, 19.4223, 0.971117, 11:53:47.0, 63, 57.357, 0.910429, 9:28:6.0, 74, 79.2322, 1.07071, 9:40:0.0, 
20140815, 1087, 194475, 194500, 32, 194499,  ,  , 669669, 576526, 13:23:57.0, 194500, dn, -1, 13.7845, -0.170405, -0.170405,  , 9.69531, 0.969531, 12:28:43.0, 20.3957, 1.01979, 12:5:49.0, -0.170405, 7.15519, 0.715519, 12:22:26.0, 17.0767, 0.853835, 11:54:42.0, 63, 57.357, 0.910429, 9:28:6.0, 75, 79.0618, 1.05416, 9:40:0.0, 
20140815, 150, 194600, 194625, 855, 194604,  ,  , 669697, 582817, 13:29:59.0, 194600, up, 1, 13.7647, -0.396734, 0.396734, 0.396734, 9.32779, 0.932779, 12:29:43.0, 19.9895, 0.999475, 12:8:55.0,  , 7.15519, 0.715519, 12:22:26.0, 17.0767, 0.853835, 11:54:42.0, 64, 57.7538, 0.902403, 9:28:6.0, 75, 79.0618, 1.05416, 9:40:0.0, 
20140815, 388, 194475, 194500, 133, 194494,  ,  , 670984, 582838, 13:30:56.0, 194500, dn, -1, 13.8221, 1.14799, 1.14799,  , 9.32779, 0.932779, 12:29:43.0, 19.9895, 0.999475, 12:8:55.0, 1.14799, 7.31629, 0.731629, 12:31:13.0, 17.1035, 0.855176, 11:56:7.0, 64, 57.7538, 0.902403, 9:28:6.0, 76, 80.2098, 1.05539, 9:40:0.0, 
20140815, 330, 194375, 194400, 102, 194394,  ,  , 677082, 583534, 13:37:12.0, 194400, dn, -1, 13.8892, 1.34158, 1.34158,  , 9.32779, 0.932779, 12:29:43.0, 19.9895, 0.999475, 12:8:55.0, 1.34158, 7.63034, 0.763034, 12:32:49.0, 17.5218, 0.876092, 12:1:1.0, 64, 57.7538, 0.902403, 9:28:6.0, 77, 81.5514, 1.05911, 9:40:0.0, 
20140815, 68, 194500, 194525, 373, 194504,  ,  , 678413, 587952, 13:40:23.0, 194500, up, 1, 13.8361, -1.06125, 1.06125, 1.06125, 8.46003, 0.846003, 12:31:51.0, 19.7242, 0.986209, 12:9:26.0,  , 7.63034, 0.763034, 12:32:49.0, 17.5218, 0.876092, 12:1:1.0, 65, 58.815, 0.904846, 9:28:6.0, 77, 81.5514, 1.05911, 9:40:0.0, 
20140815, 439, 194375, 194400, 33, 194398,  ,  , 686250, 592967, 13:50:20.0, 194400, dn, -1, 13.892, 1.11757, 1.11757,  , 8.46003, 0.846003, 12:31:51.0, 19.7242, 0.986209, 12:9:26.0, 1.11757, 8.77126, 0.877126, 12:34:35.0, 17.3229, 0.866143, 12:1:24.0, 65, 58.815, 0.904846, 9:28:6.0, 78, 82.669, 1.05986, 9:40:0.0, 
20140815, 507, 194500, 194525, 401, 194514,  ,  , 686779, 596275, 13:52:6.0, 194500, up, 1, 13.8436, -0.967208, 0.967208, 0.967208, 8.55909, 0.855909, 12:36:29.0, 19.623, 0.981148, 12:11:11.0,  , 8.77126, 0.877126, 12:34:35.0, 17.3229, 0.866143, 12:1:24.0, 66, 59.7822, 0.905791, 9:28:6.0, 78, 82.669, 1.05986, 9:40:0.0, 
20140815, 372, 194375, 194400, 186, 194392,  ,  , 688000, 597329, 13:52:58.0, 194400, dn, -1, 13.9069, 1.26524, 1.26524,  , 8.55909, 0.855909, 12:36:29.0, 19.623, 0.981148, 12:11:11.0, 1.26524, 9.19513, 0.919513, 12:48:19.0, 17.1839, 0.859197, 12:10:22.0, 66, 59.7822, 0.905791, 9:28:6.0, 79, 83.9342, 1.06246, 9:40:0.0, 
20140815, 280, 194275, 194300, 393, 194285,  ,  , 689692, 597624, 13:53:43.0, 194300, dn, -1, 14.0071, 2.00437, 2.00437,  , 8.55909, 0.855909, 12:36:29.0, 19.623, 0.981148, 12:11:11.0, 2.00437, 11.2532, 1.12532, 12:51:9.0, 18.6955, 0.934773, 12:12:58.0, 66, 59.7822, 0.905791, 9:28:6.0, 80, 85.9386, 1.07423, 9:40:0.0, 
20140815, 100, 194400, 194425, 424, 194405,  ,  , 694922, 604745, 14:1:6.0, 194400, up, 1, 13.9829, -0.483809, 0.483809, 0.483809, 8.50503, 0.850503, 12:39:16.0, 18.9943, 0.949716, 12:15:29.0,  , 11.2532, 1.12532, 12:51:9.0, 18.6955, 0.934773, 12:12:58.0, 67, 60.266, 0.899493, 9:28:6.0, 80, 85.9386, 1.07423, 9:40:0.0, 
20140815, 266, 194500, 194525, 309, 194512,  ,  , 700539, 612625, 14:13:7.0, 194500, up, 1, 13.9867, 0.0747475, -0.0747475, -0.0747475, 7.3311, 0.73311, 12:41:3.0, 18.1033, 0.905167, 12:19:23.0,  , 11.2532, 1.12532, 12:51:9.0, 18.6955, 0.934773, 12:12:58.0, 68, 60.1913, 0.885166, 9:28:6.0, 80, 85.9386, 1.07423, 9:40:0.0, 
20140815, 186, 194600, 194625, 620, 194606,  ,  , 705818, 622810, 14:22:58.0, 194600, up, 1, 13.8702, -2.3294, 2.3294, 2.3294, 8.59741, 0.859741, 12:54:13.0, 18.8425, 0.942123, 12:19:40.0,  , 11.2532, 1.12532, 12:51:9.0, 18.6955, 0.934773, 12:12:58.0, 69, 62.5207, 0.906097, 9:28:6.0, 80, 85.9386, 1.07423, 9:40:0.0, 
20140815, 236, 194700, 194725, 888, 194705,  ,  , 706008, 626607, 14:23:54.0, 194700, up, 1, 13.8457, -0.490261, 0.490261, 0.490261, 8.07693, 0.807693, 13:7:18.0, 18.4044, 0.920222, 12:24:3.0,  , 11.2532, 1.12532, 12:51:9.0, 18.6955, 0.934773, 12:12:58.0, 70, 63.011, 0.900156, 9:28:6.0, 80, 85.9386, 1.07423, 9:40:0.0, 
20140815, 213, 194800, 194825, 527, 194807,  ,  , 707054, 631215, 14:25:1.0, 194800, up, 1, 13.7782, -1.3491, 1.3491, 1.3491, 8.9653, 0.89653, 13:8:21.0, 18.4152, 0.92076, 12:24:56.0,  , 11.2532, 1.12532, 12:51:9.0, 18.6955, 0.934773, 12:12:58.0, 71, 64.3601, 0.90648, 9:28:6.0, 80, 85.9386, 1.07423, 9:40:0.0, 
20140815, 299, 194900, 194925, 778, 194907,  ,  , 708943, 638101, 14:26:15.0, 194900, up, 1, 13.7431, -0.701961, 0.701961, 0.701961, 8.75305, 0.875305, 13:8:31.0, 18.9602, 0.948011, 12:25:23.0,  , 11.2532, 1.12532, 12:51:9.0, 18.6955, 0.934773, 12:12:58.0, 72, 65.062, 0.903639, 9:28:6.0, 80, 85.9386, 1.07423, 9:40:0.0, 
20140815, 274, 195000, 195025, 508, 195009,  ,  , 713527, 648332, 14:29:30.0, 195000, up, 1, 13.6036, -2.79005, 2.79005, 2.79005, 10.495, 1.0495, 13:29:59.0, 20.1903, 1.00952, 12:28:43.0,  , 11.2532, 1.12532, 12:51:9.0, 18.6955, 0.934773, 12:12:58.0, 73, 67.8521, 0.92948, 9:28:6.0, 80, 85.9386, 1.07423, 9:40:0.0, 
20140815, 533, 194875, 194900, 159, 194894,  ,  , 723001, 656578, 14:34:47.0, 194900, dn, -1, 13.5355, -1.36276, -1.36276,  , 10.495, 1.0495, 13:29:59.0, 20.1903, 1.00952, 12:28:43.0, -1.36276, 7.75397, 0.775397, 13:0:5.0, 17.8457, 0.892285, 12:15:6.0, 73, 67.8521, 0.92948, 9:28:6.0, 81, 84.5758, 1.04415, 9:40:0.0, 
20140815, 124, 195000, 195025, 435, 195006,  ,  , 723932, 665560, 14:40:12.0, 195000, up, 1, 13.4395, -1.91994, 1.91994, 1.91994, 12.0182, 1.20182, 13:40:23.0, 21.346, 1.0673, 12:29:43.0,  , 7.75397, 0.775397, 13:0:5.0, 17.8457, 0.892285, 12:15:6.0, 74, 69.772, 0.942865, 9:28:6.0, 81, 84.5758, 1.04415, 9:40:0.0, 
20140815, 367, 195100, 195125, 473, 195111,  ,  , 726119, 669929, 14:42:1.0, 195100, up, 1, 13.3811, -1.16763, 1.16763, 1.16763, 12.1246, 1.21246, 13:52:6.0, 20.5846, 1.02923, 12:31:51.0,  , 7.75397, 0.775397, 13:0:5.0, 17.8457, 0.892285, 12:15:6.0, 75, 70.9396, 0.945862, 9:28:6.0, 81, 84.5758, 1.04415, 9:40:0.0, 
20140815, 540, 194975, 195000, 88, 194996,  ,  , 737922, 679697, 14:53:22.0, 195000, dn, -1, 13.4034, 0.444907, 0.444907,  , 12.1246, 1.21246, 13:52:6.0, 20.5846, 1.02923, 12:31:51.0, 0.444907, 8.54297, 0.854297, 13:3:12.0, 16.4296, 0.821478, 12:17:22.0, 75, 70.9396, 0.945862, 9:28:6.0, 82, 85.0207, 1.03684, 9:40:0.0, 
20140815, 591, 194875, 194900, 105, 194896,  ,  , 744884, 683723, 15:3:54.0, 194900, dn, -1, 13.4605, 1.14232, 1.14232,  , 12.1246, 1.21246, 13:52:6.0, 20.5846, 1.02923, 12:31:51.0, 1.14232, 7.59052, 0.759052, 13:4:42.0, 16.8512, 0.842562, 12:18:3.0, 75, 70.9396, 0.945862, 9:28:6.0, 83, 86.163, 1.03811, 9:40:0.0, 
20140815, 520, 194775, 194800, 501, 194788,  ,  , 749978, 684165, 15:5:28.0, 194800, dn, -1, 13.5626, 2.0416, 2.0416,  , 12.1246, 1.21246, 13:52:6.0, 20.5846, 1.02923, 12:31:51.0, 2.0416, 8.97241, 0.897241, 13:23:57.0, 17.7065, 0.885326, 12:19:30.0, 75, 70.9396, 0.945862, 9:28:6.0, 84, 88.2046, 1.05006, 9:40:0.0, 
20140815, 71, 194900, 194925, 307, 194905,  ,  , 750069, 687536, 15:6:48.0, 194900, up, 1, 13.4415, -2.422, 2.422, 2.422, 13.5794, 1.35794, 14:1:6.0, 22.1385, 1.10693, 12:36:29.0,  , 8.97241, 0.897241, 13:23:57.0, 17.7065, 0.885326, 12:19:30.0, 76, 73.3616, 0.965285, 9:28:6.0, 84, 88.2046, 1.05006, 9:40:0.0, 
20140815, 502, 194775, 194800, 9, 194800,  ,  , 757365, 697479, 15:23:38.0, 194800, dn, -1, 13.4467, 0.10452, 0.10452,  , 13.5794, 1.35794, 14:1:6.0, 22.1385, 1.10693, 12:36:29.0, 0.10452, 9.24733, 0.924733, 13:30:56.0, 16.4025, 0.820126, 12:22:26.0, 76, 73.3616, 0.965285, 9:28:6.0, 85, 88.3092, 1.03893, 9:40:0.0, 
20140815, 204, 194900, 194925, 657, 194906,  ,  , 757384, 712120, 15:32:31.0, 194900, up, 1, 13.3942, -1.04945, 1.04945, 1.04945, 14.1451, 1.41451, 14:13:7.0, 22.6501, 1.1325, 12:39:16.0,  , 9.24733, 0.924733, 13:30:56.0, 16.4025, 0.820126, 12:22:26.0, 77, 74.4111, 0.966378, 9:28:6.0, 85, 88.3092, 1.03893, 9:40:0.0, 
20140815, 97, 195000, 195025, 1000, 195002,  ,  , 757859, 717014, 15:33:30.0, 195000, up, 1, 13.3481, -0.921467, 0.921467, 0.921467, 15.1413, 1.51413, 14:22:58.0, 22.4724, 1.12362, 12:41:3.0,  , 9.24733, 0.924733, 13:30:56.0, 16.4025, 0.820126, 12:22:26.0, 78, 75.3326, 0.965802, 9:28:6.0, 85, 88.3092, 1.03893, 9:40:0.0, 
