date, tBidSz, tBid, tAsk, tAskSz, fvTurn, trdPrc, trdSz, onBidSz, onAskSz, time, anchor(4), event, turnMove, fvSpot, spotMove, delta, upDelta, sumUpDelta(10), avgUp(10), up(10)from, sumUpDelta(20), avgUp(20), up(20)from, dnDelta, sumDnDelta(10), avgDn(10), dn(10)from, sumDnDelta(20), avgDn(20), dn(20)from, upCnt, totSumUp, totAvgUp, totUpFrom, dnCnt, totSumDn, totAvgDn, totDnFrom, 
20140815, 161, 194600, 194625, 743, 194604,  ,  , 628666, 547409, 12:54:13.0, 194600, up, 1, 14.3783, -0.612636, 0.612636, 0.612636, 8.82184, 0.882184, 12:24:3.0, 15.8612, 0.793058, 11:59:0.0,  , 7.76217, 0.776217, 12:15:6.0, 15.506, 0.775302, 11:51:34.0, 60, 49.5115, 0.825192, 9:28:6.0, 71, 61.5277, 0.866587, 9:40:0.0, 
20140815, 415, 194475, 194500, 1652, 194480,  ,  , 636059, 552069, 13:0:5.0, 194500, dn, -1, 14.3607, -0.35171, -0.35171,  , 8.82184, 0.882184, 12:24:3.0, 15.8612, 0.793058, 11:59:0.0, -0.35171, 6.14196, 0.614196, 12:17:22.0, 14.8809, 0.744044, 11:52:37.0, 60, 49.5115, 0.825192, 9:28:6.0, 72, 61.176, 0.849666, 9:40:0.0, 
20140815, 352, 194375, 194400, 46, 194397,  ,  , 642844, 552790, 13:3:12.0, 194400, dn, -1, 14.4236, 1.25796, 1.25796,  , 8.82184, 0.882184, 12:24:3.0, 15.8612, 0.793058, 11:59:0.0, 1.25796, 7.1003, 0.71003, 12:18:3.0, 15.0433, 0.752166, 11:52:58.0, 60, 49.5115, 0.825192, 9:28:6.0, 73, 62.4339, 0.855259, 9:40:0.0, 
20140815, 1711, 194275, 194300, 70, 194299,  ,  , 643870, 554115, 13:4:42.0, 194300, dn, -1, 14.4191, -0.0889881, -0.0889881,  , 8.82184, 0.882184, 12:24:3.0, 15.8612, 0.793058, 11:59:0.0, -0.0889881, 6.0705, 0.60705, 12:19:30.0, 13.9401, 0.697004, 11:53:47.0, 60, 49.5115, 0.825192, 9:28:6.0, 74, 62.3449, 0.842499, 9:40:0.0, 
20140815, 213, 194400, 194425, 350, 194409,  ,  , 644442, 557502, 13:7:18.0, 194400, up, 1, 14.4021, -0.340426, 0.340426, 0.340426, 7.70962, 0.770962, 12:24:56.0, 14.8463, 0.742316, 12:2:52.0,  , 6.0705, 0.60705, 12:19:30.0, 13.9401, 0.697004, 11:53:47.0, 61, 49.8519, 0.817245, 9:28:6.0, 74, 62.3449, 0.842499, 9:40:0.0, 
20140815, 221, 194500, 194525, 1005, 194505,  ,  , 644912, 560139, 13:8:21.0, 194500, up, 1, 14.372, -0.60253, 0.60253, 0.60253, 7.88482, 0.788482, 12:25:23.0, 14.7683, 0.738414, 12:4:50.0,  , 6.0705, 0.60705, 12:19:30.0, 13.9401, 0.697004, 11:53:47.0, 62, 50.4545, 0.813782, 9:28:6.0, 74, 62.3449, 0.842499, 9:40:0.0, 
20140815, 333, 194600, 194625, 459, 194611,  ,  , 645546, 563431, 13:8:31.0, 194600, up, 1, 14.3256, -0.92822, 0.92822, 0.92822, 7.6405, 0.76405, 12:28:43.0, 15.7328, 0.786639, 12:5:49.0,  , 6.0705, 0.60705, 12:19:30.0, 13.9401, 0.697004, 11:53:47.0, 63, 51.3827, 0.815598, 9:28:6.0, 74, 62.3449, 0.842499, 9:40:0.0, 
20140815, 1087, 194475, 194500, 32, 194499,  ,  , 669669, 576526, 13:23:57.0, 194500, dn, -1, 14.3662, 0.812657, 0.812657,  , 7.6405, 0.76405, 12:28:43.0, 15.7328, 0.786639, 12:5:49.0, 0.812657, 6.06859, 0.606859, 12:22:26.0, 13.3834, 0.669169, 11:54:42.0, 63, 51.3827, 0.815598, 9:28:6.0, 75, 63.1576, 0.842101, 9:40:0.0, 
20140815, 150, 194600, 194625, 855, 194604,  ,  , 669697, 582817, 13:29:59.0, 194600, up, 1, 14.3118, -1.08773, 1.08773, 1.08773, 7.95601, 0.795601, 12:29:43.0, 16.1927, 0.809633, 12:8:55.0,  , 6.06859, 0.606859, 12:22:26.0, 13.3834, 0.669169, 11:54:42.0, 64, 52.4704, 0.81985, 9:28:6.0, 75, 63.1576, 0.842101, 9:40:0.0, 
20140815, 388, 194475, 194500, 133, 194494,  ,  , 670984, 582838, 13:30:56.0, 194500, dn, -1, 14.3584, 0.930522, 0.930522,  , 7.95601, 0.795601, 12:29:43.0, 16.1927, 0.809633, 12:8:55.0, 0.930522, 5.95822, 0.595822, 12:31:13.0, 14.0189, 0.700946, 11:56:7.0, 64, 52.4704, 0.81985, 9:28:6.0, 76, 64.0881, 0.843265, 9:40:0.0, 
20140815, 330, 194375, 194400, 102, 194394,  ,  , 677082, 583534, 13:37:12.0, 194400, dn, -1, 14.4071, 0.974056, 0.974056,  , 7.95601, 0.795601, 12:29:43.0, 16.1927, 0.809633, 12:8:55.0, 0.974056, 5.80177, 0.580177, 12:32:49.0, 14.0651, 0.703255, 12:1:1.0, 64, 52.4704, 0.81985, 9:28:6.0, 77, 65.0622, 0.844963, 9:40:0.0, 
20140815, 68, 194500, 194525, 373, 194504,  ,  , 678413, 587952, 13:40:23.0, 194500, up, 1, 14.3613, -0.915646, 0.915646, 0.915646, 7.639, 0.7639, 12:31:51.0, 16.4076, 0.820378, 12:9:26.0,  , 5.80177, 0.580177, 12:32:49.0, 14.0651, 0.703255, 12:1:1.0, 65, 53.3861, 0.821324, 9:28:6.0, 77, 65.0622, 0.844963, 9:40:0.0, 
20140815, 439, 194375, 194400, 33, 194398,  ,  , 686250, 592967, 13:50:20.0, 194400, dn, -1, 14.409, 0.953391, 0.953391,  , 7.639, 0.7639, 12:31:51.0, 16.4076, 0.820378, 12:9:26.0, 0.953391, 5.9053, 0.59053, 12:34:35.0, 13.9709, 0.698544, 12:1:24.0, 65, 53.3861, 0.821324, 9:28:6.0, 78, 66.0156, 0.846353, 9:40:0.0, 
20140815, 507, 194500, 194525, 401, 194514,  ,  , 686779, 596275, 13:52:6.0, 194500, up, 1, 14.3763, -0.653119, 0.653119, 0.653119, 7.40871, 0.740871, 12:36:29.0, 16.1865, 0.809325, 12:11:11.0,  , 5.9053, 0.59053, 12:34:35.0, 13.9709, 0.698544, 12:1:24.0, 66, 54.0392, 0.818775, 9:28:6.0, 78, 66.0156, 0.846353, 9:40:0.0, 
20140815, 372, 194375, 194400, 186, 194392,  ,  , 688000, 597329, 13:52:58.0, 194400, dn, -1, 14.4118, 0.709387, 0.709387,  , 7.40871, 0.740871, 12:36:29.0, 16.1865, 0.809325, 12:11:11.0, 0.709387, 6.42419, 0.642419, 12:48:19.0, 13.4791, 0.673955, 12:10:22.0, 66, 54.0392, 0.818775, 9:28:6.0, 79, 66.725, 0.84462, 9:40:0.0, 
20140815, 280, 194275, 194300, 393, 194285,  ,  , 689692, 597624, 13:53:43.0, 194300, dn, -1, 14.4949, 1.66311, 1.66311,  , 7.40871, 0.740871, 12:36:29.0, 16.1865, 0.809325, 12:11:11.0, 1.66311, 7.90579, 0.790579, 12:51:9.0, 14.6129, 0.730644, 12:12:58.0, 66, 54.0392, 0.818775, 9:28:6.0, 80, 68.3881, 0.854851, 9:40:0.0, 
20140815, 100, 194400, 194425, 424, 194405,  ,  , 694922, 604745, 14:1:6.0, 194400, up, 1, 14.486, -0.177642, 0.177642, 0.177642, 6.93001, 0.693001, 12:39:16.0, 16.0514, 0.802572, 12:15:29.0,  , 7.90579, 0.790579, 12:51:9.0, 14.6129, 0.730644, 12:12:58.0, 67, 54.2168, 0.809206, 9:28:6.0, 80, 68.3881, 0.854851, 9:40:0.0, 
20140815, 266, 194500, 194525, 309, 194512,  ,  , 700539, 612625, 14:13:7.0, 194500, up, 1, 14.4732, -0.25633, 0.25633, 0.25633, 6.42653, 0.642653, 12:41:3.0, 15.4787, 0.773937, 12:19:23.0,  , 7.90579, 0.790579, 12:51:9.0, 14.6129, 0.730644, 12:12:58.0, 68, 54.4731, 0.801076, 9:28:6.0, 80, 68.3881, 0.854851, 9:40:0.0, 
